Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,Noname,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,noname1,noname2,noname3,BlockNumber,TrialTypeDesignation
1.0,903.722,903.733,903.722,1.0,903.722,903.733,,1.0,,903.722,903.733,1.0,3.25,1.25,1.0,0.036564,0.0,512008.4248,0.84431,,,,1.0,
2.0,904.534,904.55,904.534,1.0,904.534,904.55,,1.0,,904.534,904.55,2.0,2.25,3.5,2.0,0.85407,0.0,512009.2368,1.6562,,,,1.0,
3.0,905.351,974.928,905.351,1.0,905.351,918.485,,1.0,,905.351,918.485,3.0,3.25,3.75,3.0,1.6706,0.0,512010.0538,2.4733,,,,1.0,
37.0,1065.264,1065.279,1065.264,1.0,1065.264,1065.279,,1.0,,1065.264,1065.279,1.0,3.25,1.25,1.0,0.024677,0.0,513261.3736,0.83071,,,,5.0,2.0
38.0,1066.08,1066.087,1066.08,1.0,1066.08,1066.087,,1.0,,1066.08,1066.087,2.0,2.25,3.5,2.0,0.83969,0.0,513262.1886,1.6458,,,,5.0,2.0
39.0,1066.888,1066.903,1066.888,1.0,1066.888,1066.903,,1.0,,1066.888,1066.903,3.0,3.25,3.75,3.0,1.6524,0.0,513262.9981,2.4553,,,,5.0,2.0
40.0,1067.708,1067.718,1067.708,1.0,1067.708,1067.718,,1.0,,1067.708,1067.718,4.0,2.75,1.0,4.0,2.4675,1.0,513263.8164,3.2736,,,,5.0,2.0
41.0,1068.523,1068.53,1068.523,1.0,1068.523,1068.53,,1.0,,1068.523,1068.53,5.0,3.5,3.75,5.0,3.2821,0.0,513264.6329,4.0903,,,,5.0,2.0
42.0,1069.331,1069.337,1069.331,1.0,1069.331,1069.337,,1.0,,1069.331,1069.337,6.0,3.0,3.25,6.0,4.0955,1.0,513265.4392,4.8963,,,,5.0,2.0
43.0,1070.138,1070.144,1070.138,1.0,1070.138,1070.144,,1.0,,1070.138,1070.144,7.0,3.0,2.0,7.0,4.9007,1.0,513266.2449,5.702,,,,5.0,2.0
44.0,1070.945,1070.95,1070.945,1.0,1070.945,1070.95,,1.0,,1070.945,1070.95,8.0,2.75,1.5,8.0,5.7066,1.0,513267.0507,6.5078,,,,5.0,2.0
45.0,1071.751,1071.756,1071.751,1.0,1071.751,1071.756,,1.0,,1071.751,1071.756,9.0,3.0,1.0,9.0,6.5121,0.0,513267.856,7.3131,,,,5.0,2.0
46.0,1072.556,1072.562,1072.556,1.0,1072.556,1072.562,,1.0,,1072.556,1072.562,10.0,1.75,1.0,10.0,7.3177,1.0,513268.6613,8.1185,,,,5.0,2.0
47.0,1073.363,1073.367,1073.363,1.0,1073.363,1073.367,,1.0,,1073.363,1073.367,11.0,1.25,3.25,11.0,8.1227,0.0,513269.4664,8.9236,,,,5.0,2.0
48.0,1074.168,1074.172,1074.168,1.0,1074.168,1074.172,,1.0,,1074.168,1074.172,12.0,3.0,1.75,12.0,8.9279,1.0,513270.2718,9.7289,,,,5.0,2.0
49.0,1074.973,1074.978,1074.973,1.0,1074.973,1074.978,,1.0,,1074.973,1074.978,13.0,3.75,1.0,13.0,9.7333,0.0,513271.0781,10.5353,,,,5.0,2.0
50.0,1075.778,1075.783,1075.778,1.0,1075.778,1075.783,,1.0,,1075.778,1075.783,14.0,2.25,2.0,14.0,10.5402,0.0,513271.884,11.3411,,,,5.0,2.0
51.0,1076.584,1076.588,1076.584,1.0,1076.584,1076.588,,1.0,,1076.584,1076.588,15.0,3.25,3.25,15.0,11.3459,0.0,513272.6898,12.147,,,,5.0,2.0
52.0,1077.389,1077.393,1077.389,1.0,1077.389,1077.393,,1.0,,1077.389,1077.393,16.0,1.5,2.25,16.0,12.1518,0.0,513273.4959,12.9531,,,,5.0,2.0
53.0,1078.194,1078.198,1078.194,1.0,1078.194,1078.198,,1.0,,1078.194,1078.198,17.0,2.25,2.75,17.0,12.9576,0.0,513274.3014,13.7586,,,,5.0,2.0
54.0,1078.999,1079.004,1078.999,1.0,1078.999,1079.004,,1.0,,1078.999,1079.004,18.0,3.0,3.25,18.0,13.7635,0.0,513275.1071,14.5643,,,,5.0,2.0
55.0,1079.804,1079.809,1079.804,1.0,1079.804,1079.809,,1.0,,1079.804,1079.809,19.0,1.75,3.0,19.0,14.569,1.0,513275.9128,15.3699,,,,5.0,2.0
56.0,1080.609,1080.615,1080.609,1.0,1080.609,1080.615,,1.0,,1080.609,1080.615,20.0,2.75,1.25,20.0,15.3743,0.0,513276.7181,16.1753,,,,5.0,2.0
57.0,1081.416,1081.42,1081.416,1.0,1081.416,1081.42,,1.0,,1081.416,1081.42,21.0,1.25,2.25,21.0,16.1818,0.0,513277.5256,16.9828,,,,5.0,2.0
58.0,1082.221,1082.226,1082.221,1.0,1082.221,1082.226,,1.0,,1082.221,1082.226,22.0,3.75,2.0,22.0,16.9878,1.0,513278.3317,17.7889,,,,5.0,2.0
59.0,1083.027,1083.031,1083.027,1.0,1083.027,1083.031,,1.0,,1083.027,1083.031,23.0,2.75,1.5,23.0,17.7929,0.0,513279.1366,18.5937,,,,5.0,2.0
60.0,1083.832,1083.837,1083.832,1.0,1083.832,1083.837,,1.0,,1083.832,1083.837,24.0,3.25,1.75,24.0,18.5977,1.0,513279.9458,19.4029,,,,5.0,2.0
61.0,1084.637,1084.643,1084.637,1.0,1084.637,1084.643,,1.0,,1084.637,1084.643,25.0,2.5,3.0,25.0,19.407,0.0,513280.7509,20.2081,,,,5.0,2.0
62.0,1085.444,1085.449,1085.444,1.0,1085.444,1085.449,,1.0,,1085.444,1085.449,26.0,3.5,3.75,26.0,20.2121,1.0,513281.5558,21.0129,,,,5.0,2.0
63.0,1086.249,1086.254,1086.249,1.0,1086.249,1086.254,,1.0,,1086.249,1086.254,27.0,2.5,1.25,27.0,21.019,1.0,513282.3629,21.8201,,,,5.0,2.0
64.0,1087.054,1087.059,1087.054,1.0,1087.054,1087.059,,1.0,,1087.054,1087.059,28.0,1.25,1.75,28.0,21.827,1.0,513283.1709,22.628,,,,5.0,2.0
65.0,1087.86,1087.865,1087.86,1.0,1087.86,1087.865,,1.0,,1087.86,1087.865,29.0,3.5,1.75,29.0,22.632,0.0,513283.9757,23.4328,,,,5.0,2.0
66.0,1088.666,1088.673,1088.666,1.0,1088.666,1088.673,,1.0,,1088.666,1088.673,30.0,3.25,1.5,30.0,23.4368,0.0,513284.7808,24.2379,,,,5.0,2.0
67.0,1089.474,1089.479,1089.474,1.0,1089.474,1089.479,,1.0,,1089.474,1089.479,31.0,3.75,2.0,31.0,24.243,1.0,513285.587,25.0441,,,,5.0,2.0
68.0,1090.279,1090.285,1090.279,1.0,1090.279,1090.285,,1.0,,1090.279,1090.285,32.0,1.5,1.75,32.0,25.0481,0.0,513286.392,25.8491,,,,5.0,2.0
69.0,1091.086,1091.091,1091.086,1.0,1091.086,1091.091,,1.0,,1091.086,1091.091,33.0,2.75,2.25,33.0,25.8556,0.0,513287.1993,26.6564,,,,5.0,2.0
70.0,1091.891,1091.899,1091.891,1.0,1091.891,1091.899,,1.0,,1091.891,1091.899,34.0,2.0,3.25,34.0,26.6618,0.0,513288.0057,27.4628,,,,5.0,2.0
71.0,1092.7,1092.705,1092.7,1.0,1092.7,1092.705,,1.0,,1092.7,1092.705,35.0,2.75,2.5,35.0,27.4676,0.0,513288.8115,28.2686,,,,5.0,2.0
72.0,1093.506,1093.51,1093.506,1.0,1093.506,1093.51,,1.0,,1093.506,1093.51,36.0,3.75,1.75,36.0,28.2729,0.0,513289.6165,29.0737,,,,5.0,2.0
73.0,1094.311,1094.315,1094.311,1.0,1094.311,1094.315,,1.0,,1094.311,1094.315,37.0,3.25,3.25,37.0,29.0777,1.0,513290.4215,29.8786,,,,5.0,2.0
74.0,1095.116,1095.122,1095.116,1.0,1095.116,1095.122,,1.0,,1095.116,1095.122,38.0,2.0,2.5,38.0,29.884,0.0,513291.2275,30.6846,,,,5.0,2.0
75.0,1095.922,1095.927,1095.922,1.0,1095.922,1095.927,,1.0,,1095.922,1095.927,39.0,1.0,1.0,39.0,30.6915,1.0,513292.0351,31.4923,,,,5.0,2.0
76.0,1096.727,1096.734,1096.727,1.0,1096.727,1096.734,,1.0,,1096.727,1096.734,40.0,2.5,3.25,40.0,31.4967,0.0,513292.8405,32.2976,,,,5.0,2.0
77.0,1097.534,1097.539,1097.534,1.0,1097.534,1097.539,,1.0,,1097.534,1097.539,41.0,3.75,1.25,41.0,32.3045,0.0,513293.6483,33.1054,,,,5.0,2.0
78.0,1098.341,1098.345,1098.341,1.0,1098.341,1098.345,,1.0,,1098.341,1098.345,42.0,2.5,2.25,42.0,33.1096,1.0,513294.4533,33.9104,,,,5.0,2.0
79.0,1099.145,1099.149,1099.145,1.0,1099.145,1099.149,,1.0,,1099.145,1099.149,43.0,1.0,2.0,43.0,33.915,1.0,513295.2587,34.7158,,,,5.0,2.0
80.0,1099.95,1099.955,1099.95,1.0,1099.95,1099.955,,1.0,,1099.95,1099.955,44.0,1.25,3.25,44.0,34.7201,0.0,513296.0637,35.5208,,,,5.0,2.0
81.0,1100.755,1100.76,1100.755,1.0,1100.755,1100.76,,1.0,,1100.755,1100.76,45.0,1.75,2.5,45.0,35.5249,0.0,513296.8686,36.3257,,,,5.0,2.0
82.0,1101.561,1101.566,1101.561,1.0,1101.561,1101.566,,1.0,,1101.561,1101.566,46.0,1.25,2.75,46.0,36.3299,1.0,513297.6736,37.1307,,,,5.0,2.0
83.0,1102.367,1102.372,1102.367,1.0,1102.367,1102.372,,1.0,,1102.367,1102.372,47.0,1.75,2.75,47.0,37.1354,1.0,513298.4789,37.936,,,,5.0,2.0
84.0,1103.173,1103.18,1103.173,1.0,1103.173,1103.18,,1.0,,1103.173,1103.18,48.0,3.0,3.0,48.0,37.9402,0.0,513299.2839,38.741,,,,5.0,2.0
85.0,1103.981,1103.986,1103.981,1.0,1103.981,1103.986,,1.0,,1103.981,1103.986,49.0,2.25,1.25,49.0,38.7477,0.0,513300.0913,39.5485,,,,5.0,2.0
86.0,1104.786,1104.791,1104.786,1.0,1104.786,1104.791,,1.0,,1104.786,1104.791,50.0,1.5,3.5,50.0,39.5542,0.0,513300.8978,40.355,,,,5.0,2.0
87.0,1105.591,1105.596,1105.591,1.0,1105.591,1105.596,,1.0,,1105.591,1105.596,51.0,1.25,3.25,51.0,40.3613,1.0,513301.705,41.1622,,,,5.0,2.0
88.0,1106.397,1106.402,1106.397,1.0,1106.397,1106.402,,1.0,,1106.397,1106.402,52.0,2.5,3.75,52.0,41.1664,0.0,513302.51,41.9672,,,,5.0,2.0
89.0,1107.202,1107.207,1107.202,1.0,1107.202,1107.207,,1.0,,1107.202,1107.207,53.0,1.0,2.25,53.0,41.9712,0.0,513303.315,42.7722,,,,5.0,2.0
90.0,1108.007,1108.012,1108.007,1.0,1108.007,1108.012,,1.0,,1108.007,1108.012,54.0,1.25,3.75,54.0,42.7767,0.0,513304.1208,43.578,,,,5.0,2.0
91.0,1108.812,1108.818,1108.812,1.0,1108.812,1108.818,,1.0,,1108.812,1108.818,55.0,1.0,3.25,55.0,43.5821,0.0,513304.926,44.3832,,,,5.0,2.0
92.0,1109.619,1109.623,1109.619,1.0,1109.619,1109.623,,1.0,,1109.619,1109.623,56.0,3.25,3.5,56.0,44.3889,0.0,513305.7326,45.1897,,,,5.0,2.0
93.0,1110.424,1110.43,1110.424,1.0,1110.424,1110.43,,1.0,,1110.424,1110.43,57.0,1.25,2.0,57.0,45.1945,0.0,513306.5384,45.9955,,,,5.0,2.0
94.0,1111.23,1111.235,1111.23,1.0,1111.23,1111.235,,1.0,,1111.23,1111.235,58.0,1.75,3.25,58.0,46.0,1.0,513307.3453,46.8024,,,,5.0,2.0
95.0,1112.036,1112.041,1112.036,1.0,1112.036,1112.041,,1.0,,1112.036,1112.041,59.0,2.25,3.5,59.0,46.8069,0.0,513308.1505,47.6077,,,,5.0,2.0
96.0,1112.842,1112.846,1112.842,1.0,1112.842,1112.846,,1.0,,1112.842,1112.846,60.0,1.5,1.75,60.0,47.6117,1.0,513308.9553,48.4124,,,,5.0,2.0
97.0,1113.647,1113.651,1113.647,1.0,1113.647,1113.651,,1.0,,1113.647,1113.651,61.0,1.25,1.25,61.0,48.4165,0.0,513309.7605,49.2177,,,,5.0,2.0
98.0,1114.452,1114.457,1114.452,1.0,1114.452,1114.457,,1.0,,1114.452,1114.457,62.0,3.5,2.5,62.0,49.2226,1.0,513310.5663,50.0234,,,,5.0,2.0
99.0,1115.257,1115.262,1115.257,1.0,1115.257,1115.262,,1.0,,1115.257,1115.262,63.0,2.5,1.25,63.0,50.0273,1.0,513311.3712,50.8283,,,,5.0,2.0
100.0,1116.063,1116.068,1116.063,1.0,1116.063,1116.068,,1.0,,1116.063,1116.068,64.0,3.5,2.75,64.0,50.8331,0.0,513312.1769,51.634,,,,5.0,2.0
101.0,1116.868,1116.874,1116.868,1.0,1116.868,1116.874,,1.0,,1116.868,1116.874,65.0,2.0,2.5,65.0,51.6389,1.0,513312.9828,52.4399,,,,5.0,2.0
102.0,1117.674,1117.679,1117.674,1.0,1117.674,1117.679,,1.0,,1117.674,1117.679,66.0,2.0,1.0,66.0,52.4442,1.0,513313.7877,53.2448,,,,5.0,2.0
103.0,1118.48,1118.484,1118.48,1.0,1118.48,1118.484,,1.0,,1118.48,1118.484,67.0,1.5,1.25,67.0,53.2499,1.0,513314.5936,54.0507,,,,5.0,2.0
104.0,1119.285,1119.29,1119.285,1.0,1119.285,1119.29,,1.0,,1119.285,1119.29,68.0,1.5,1.5,68.0,54.0555,0.0,513315.3994,54.8565,,,,5.0,2.0
105.0,1120.09,1120.095,1120.09,1.0,1120.09,1120.095,,1.0,,1120.09,1120.095,69.0,2.25,1.0,69.0,54.861,0.0,513316.2047,55.6618,,,,5.0,2.0
106.0,1120.895,1120.902,1120.895,1.0,1120.895,1120.902,,1.0,,1120.895,1120.902,70.0,3.5,3.75,70.0,55.6663,1.0,513317.0101,56.4672,,,,5.0,2.0
107.0,1121.703,1121.707,1121.703,1.0,1121.703,1121.707,,1.0,,1121.703,1121.707,71.0,2.25,2.25,71.0,56.4713,1.0,513317.815,57.2721,,,,5.0,2.0
108.0,1122.507,1122.512,1122.507,1.0,1122.507,1122.512,,1.0,,1122.507,1122.512,72.0,2.0,3.5,72.0,57.2768,0.0,513318.6206,58.0777,,,,5.0,2.0
109.0,1123.313,1123.318,1123.313,1.0,1123.313,1123.318,,1.0,,1123.313,1123.318,73.0,2.0,1.25,73.0,58.0822,1.0,513319.4259,58.8831,,,,5.0,2.0
110.0,1124.118,1124.122,1124.118,1.0,1124.118,1124.122,,1.0,,1124.118,1124.122,74.0,3.25,2.0,74.0,58.8872,1.0,513320.2311,59.6882,,,,5.0,2.0
111.0,1124.923,1124.928,1124.923,1.0,1124.923,1124.928,,1.0,,1124.923,1124.928,75.0,1.5,2.0,75.0,59.6922,1.0,513321.0357,60.4929,,,,5.0,2.0
112.0,1125.729,1125.736,1125.729,1.0,1125.729,1125.736,,1.0,,1125.729,1125.736,76.0,1.25,1.25,76.0,60.4969,1.0,513321.8407,61.2978,,,,5.0,2.0
113.0,1126.536,1126.541,1126.536,1.0,1126.536,1126.541,,1.0,,1126.536,1126.541,77.0,3.75,3.75,77.0,61.3018,1.0,513322.6455,62.1027,,,,5.0,2.0
114.0,1127.341,1127.346,1127.341,1.0,1127.341,1127.346,,1.0,,1127.341,1127.346,78.0,2.5,1.0,78.0,62.1065,1.0,513323.4502,62.9074,,,,5.0,2.0
115.0,1128.147,1128.152,1128.147,1.0,1128.147,1128.152,,1.0,,1128.147,1128.152,79.0,1.5,2.0,79.0,62.9112,1.0,513324.255,63.7121,,,,5.0,2.0
116.0,1128.952,1128.957,1128.952,1.0,1128.952,1128.957,,1.0,,1128.952,1128.957,80.0,3.25,1.0,80.0,63.7162,0.0,513325.0598,64.5169,,,,5.0,2.0
117.0,1129.758,1129.763,1129.758,1.0,1129.758,1129.763,,1.0,,1129.758,1129.763,81.0,1.0,1.5,81.0,64.5209,0.0,513325.8645,65.3216,,,,5.0,2.0
118.0,1130.564,1130.568,1130.564,1.0,1130.564,1130.568,,1.0,,1130.564,1130.568,82.0,2.75,3.0,82.0,65.3253,1.0,513326.6689,66.126,,,,5.0,2.0
119.0,1131.372,1131.375,1131.372,1.0,1131.372,1131.375,,1.0,,1131.372,1131.375,83.0,2.75,2.25,83.0,66.1297,1.0,513327.4739,66.931,,,,5.0,2.0
120.0,1132.176,1132.182,1132.176,1.0,1132.176,1132.182,,1.0,,1132.176,1132.182,84.0,2.5,1.75,84.0,66.9354,0.0,513328.2792,67.7363,,,,5.0,2.0
121.0,1132.983,1132.988,1132.983,1.0,1132.983,1132.988,,1.0,,1132.983,1132.988,85.0,3.0,1.5,85.0,67.7403,1.0,513329.0845,68.5416,,,,5.0,2.0
122.0,1133.788,1133.793,1133.788,1.0,1133.788,1133.793,,1.0,,1133.788,1133.793,86.0,3.0,1.5,86.0,68.5455,1.0,513329.8892,69.3464,,,,5.0,2.0
123.0,1134.594,1134.598,1134.594,1.0,1134.594,1134.598,,1.0,,1134.594,1134.598,87.0,2.0,2.75,87.0,69.3504,0.0,513330.6941,70.1513,,,,5.0,2.0
124.0,1135.399,1135.403,1135.399,1.0,1135.399,1135.403,,1.0,,1135.399,1135.403,88.0,3.25,1.0,88.0,70.1559,1.0,513331.4996,70.9567,,,,5.0,2.0
125.0,1136.204,1136.208,1136.204,1.0,1136.204,1136.208,,1.0,,1136.204,1136.208,89.0,3.75,3.25,89.0,70.9617,1.0,513332.3055,71.7626,,,,5.0,2.0
126.0,1137.008,1137.013,1137.008,1.0,1137.008,1137.013,,1.0,,1137.008,1137.013,90.0,2.25,2.25,90.0,71.7665,1.0,513333.1101,72.5672,,,,5.0,2.0
127.0,1137.814,1137.821,1137.814,1.0,1137.814,1137.821,,1.0,,1137.814,1137.821,91.0,2.25,1.75,91.0,72.5712,1.0,513333.9157,73.3728,,,,5.0,2.0
128.0,1138.622,1138.626,1138.622,1.0,1138.622,1138.626,,1.0,,1138.622,1138.626,92.0,2.5,2.5,92.0,73.3778,1.0,513334.7218,74.1789,,,,5.0,2.0
129.0,1139.426,1139.431,1139.426,1.0,1139.426,1139.431,,1.0,,1139.426,1139.431,93.0,3.25,3.25,93.0,74.183,1.0,513335.5267,74.9839,,,,5.0,2.0
130.0,1140.231,1140.235,1140.231,1.0,1140.231,1140.235,,1.0,,1140.231,1140.235,94.0,2.75,2.0,94.0,74.9878,0.0,513336.3314,75.7885,,,,5.0,2.0
131.0,1141.036,1141.04,1141.036,1.0,1141.036,1141.04,,1.0,,1141.036,1141.04,95.0,3.25,2.5,95.0,75.7923,1.0,513337.136,76.5932,,,,5.0,2.0
132.0,1141.841,1141.845,1141.841,1.0,1141.841,1141.845,,1.0,,1141.841,1141.845,96.0,2.0,3.75,96.0,76.5975,1.0,513337.9418,77.3989,,,,5.0,2.0
133.0,1142.645,1142.65,1142.645,1.0,1142.645,1142.65,,1.0,,1142.645,1142.65,97.0,3.5,2.5,97.0,77.4029,0.0,513338.7466,78.2037,,,,5.0,2.0
134.0,1143.45,1143.455,1143.45,1.0,1143.45,1143.455,,1.0,,1143.45,1143.455,98.0,2.75,2.75,98.0,78.2074,0.0,513339.5509,79.0081,,,,5.0,2.0
135.0,1144.256,1144.26,1144.256,1.0,1144.256,1144.26,,1.0,,1144.256,1144.26,99.0,1.5,1.75,99.0,79.0118,1.0,513340.3553,79.8124,,,,5.0,2.0
136.0,1145.06,,1145.06,1.0,1145.06,1270.943,,1.0,,1145.06,1270.943,100.0,2.25,1.5,100.0,79.8171,0.0,513341.1608,80.6179,,,,5.0,2.0
137.0,1276.879,1277.391,,1.0,1276.879,1277.391,,1.0,,1276.879,1277.391,1.0,3.25,1.25,1.0,0.53915,1.0,512382.7184,1.1663,,,,2.0,1.0
138.0,1278.028,1278.54,1278.028,1.0,1278.028,1278.54,,1.0,,1278.028,1278.54,2.0,2.25,3.5,2.0,1.6891,1.0,512384.9924,3.4439,,,,2.0,1.0
139.0,1280.3,1280.808,1280.3,1.0,1280.3,1280.808,,1.0,,1280.3,1280.808,3.0,3.25,3.75,3.0,3.9572,1.0,512387.3854,5.8333,,,,2.0,1.0
140.0,1282.691,1283.196,1282.691,1.0,1282.691,1283.196,,1.0,,1282.691,1283.196,4.0,2.75,1.0,4.0,6.3448,1.0,512388.3979,6.8458,,,,2.0,1.0
141.0,1283.76,1284.267,1283.76,1.0,1283.76,1284.267,,0.0,,1283.76,1284.267,5.0,3.5,3.75,5.0,7.4154,0.0,512390.8456,9.2938,,,,2.0,1.0
142.0,1286.149,1286.652,1286.149,1.0,1286.149,1286.652,,0.0,,1286.149,1286.652,6.0,3.0,3.25,6.0,9.8018,0.0,512392.9797,11.4276,,,,2.0,1.0
143.0,1288.283,1288.787,1288.283,1.0,1288.283,1288.787,,1.0,,1288.283,1288.787,7.0,3.0,2.0,7.0,11.9362,1.0,512394.489,12.9369,,,,2.0,1.0
144.0,1289.791,1290.295,1289.791,1.0,1289.791,1290.295,,1.0,,1289.791,1290.295,8.0,2.75,1.5,8.0,13.4441,1.0,512395.747,14.1949,,,,2.0,1.0
145.0,1291.05,1291.554,1291.05,1.0,1291.05,1291.554,,0.0,,1291.05,1291.554,9.0,3.0,1.0,9.0,14.7031,0.0,512396.7563,15.2042,,,,2.0,1.0
146.0,1292.058,1292.562,1292.058,1.0,1292.058,1292.562,,1.0,,1292.058,1292.562,10.0,1.75,1.0,10.0,15.7112,1.0,512397.764,16.2119,,,,2.0,1.0
147.0,1293.068,1293.572,1293.068,1.0,1293.068,1293.572,,1.0,,1293.068,1293.572,11.0,1.25,3.25,11.0,16.7213,1.0,512399.8991,18.347,,,,2.0,1.0
148.0,1295.203,1295.707,1295.203,1.0,1295.203,1295.707,,0.0,,1295.203,1295.707,12.0,3.0,1.75,12.0,18.8563,0.0,512401.2843,19.7321,,,,2.0,1.0
149.0,1296.586,1297.09,1296.586,1.0,1296.586,1297.09,,0.0,,1296.586,1297.09,13.0,3.75,1.0,13.0,20.2394,0.0,512402.2922,20.7401,,,,2.0,1.0
150.0,1297.594,1298.098,1297.594,1.0,1297.594,1298.098,,1.0,,1297.594,1298.098,14.0,2.25,2.0,14.0,21.2474,1.0,512403.8002,22.2481,,,,2.0,1.0
151.0,1299.102,1299.606,1299.102,1.0,1299.102,1299.606,,1.0,,1299.102,1299.606,15.0,3.25,3.25,15.0,22.7554,1.0,512405.9332,24.3811,,,,2.0,1.0
152.0,1301.236,1301.739,1301.236,1.0,1301.236,1301.739,,1.0,,1301.236,1301.739,16.0,1.5,2.25,16.0,24.8886,1.0,512407.5665,26.0144,,,,2.0,1.0
153.0,1302.869,1303.373,1302.869,1.0,1302.869,1303.373,,0.0,,1302.869,1303.373,17.0,2.25,2.75,17.0,26.5221,0.0,512409.45,27.8979,,,,2.0,1.0
154.0,1304.752,1305.256,1304.752,1.0,1304.752,1305.256,,0.0,,1304.752,1305.256,18.0,3.0,3.25,18.0,28.4059,0.0,512411.5838,30.0317,,,,2.0,1.0
155.0,1306.886,1307.389,1306.886,1.0,1306.886,1307.389,,0.0,,1306.886,1307.389,19.0,1.75,3.0,19.0,30.5387,0.0,512413.5917,32.0396,,,,2.0,1.0
156.0,1308.894,1309.398,1308.894,1.0,1308.894,1309.398,,1.0,,1308.894,1309.398,20.0,2.75,1.25,20.0,32.5469,1.0,512414.7253,33.1732,,,,2.0,1.0
157.0,1310.027,1310.531,1310.027,1.0,1310.027,1310.531,,0.0,,1310.027,1310.531,21.0,1.25,2.25,21.0,33.6803,0.0,512416.358,34.8059,,,,2.0,1.0
158.0,1311.66,1312.163,1311.66,1.0,1311.66,1312.163,,1.0,,1311.66,1312.163,22.0,3.75,2.0,22.0,35.3127,1.0,512417.8656,36.3134,,,,2.0,1.0
159.0,1313.167,1313.672,1313.167,1.0,1313.167,1313.672,,0.0,,1313.167,1313.672,23.0,2.75,1.5,23.0,36.8212,0.0,512419.1242,37.572,,,,2.0,1.0
160.0,1314.427,1314.931,1314.427,1.0,1314.427,1314.931,,0.0,,1314.427,1314.931,24.0,3.25,1.75,24.0,38.08,0.0,512420.5079,38.9558,,,,2.0,1.0
161.0,1315.81,1316.314,1315.81,1.0,1315.81,1316.314,,1.0,,1315.81,1316.314,25.0,2.5,3.0,25.0,39.4636,1.0,512422.5164,40.9643,,,,2.0,1.0
162.0,1317.818,1318.322,1317.818,1.0,1317.818,1318.322,,0.0,,1317.818,1318.322,26.0,3.5,3.75,26.0,41.4714,0.0,512424.8994,43.3472,,,,2.0,1.0
163.0,1320.201,1320.705,1320.201,1.0,1320.201,1320.705,,0.0,,1320.201,1320.705,27.0,2.5,1.25,27.0,43.8545,0.0,512426.0324,44.4802,,,,2.0,1.0
164.0,1321.335,1321.839,1321.335,1.0,1321.335,1321.839,,1.0,,1321.335,1321.839,28.0,1.25,1.75,28.0,44.9881,1.0,512427.416,45.8639,,,,2.0,1.0
165.0,1322.718,1323.222,1322.718,1.0,1322.718,1323.222,,1.0,,1322.718,1323.222,29.0,3.5,1.75,29.0,46.3711,1.0,512428.799,47.2468,,,,2.0,1.0
166.0,1324.102,1324.605,1324.102,1.0,1324.102,1324.605,,0.0,,1324.102,1324.605,30.0,3.25,1.5,30.0,47.7545,0.0,512430.0573,48.5051,,,,2.0,1.0
167.0,1325.359,1325.863,1325.359,1.0,1325.359,1325.863,,1.0,,1325.359,1325.863,31.0,3.75,2.0,31.0,49.0124,1.0,512431.5652,50.0131,,,,2.0,1.0
168.0,1326.867,1327.371,1326.867,1.0,1326.867,1327.371,,0.0,,1326.867,1327.371,32.0,1.5,1.75,32.0,50.5204,0.0,512432.9483,51.3962,,,,2.0,1.0
169.0,1328.251,1328.754,1328.251,1.0,1328.251,1328.754,,0.0,,1328.251,1328.754,33.0,2.75,2.25,33.0,51.9037,0.0,512434.5814,53.0293,,,,2.0,1.0
170.0,1329.884,1330.389,1329.884,1.0,1329.884,1330.389,,1.0,,1329.884,1330.389,34.0,2.0,3.25,34.0,53.538,1.0,512436.7158,55.1637,,,,2.0,1.0
171.0,1332.018,1332.525,1332.018,1.0,1332.018,1332.525,,0.0,,1332.018,1332.525,35.0,2.75,2.5,35.0,55.6746,0.0,512438.4773,56.9252,,,,2.0,1.0
172.0,1333.779,1334.282,1333.779,1.0,1333.779,1334.282,,1.0,,1333.779,1334.282,36.0,3.75,1.75,36.0,57.4317,1.0,512439.8596,58.3074,,,,2.0,1.0
173.0,1335.161,1335.666,1335.161,1.0,1335.161,1335.666,,0.0,,1335.161,1335.666,37.0,3.25,3.25,37.0,58.8159,0.0,512441.9941,60.4419,,,,2.0,1.0
174.0,1337.299,1337.802,1337.299,1.0,1337.299,1337.802,,1.0,,1337.299,1337.802,38.0,2.0,2.5,38.0,60.9515,1.0,512443.7544,62.2022,,,,2.0,1.0
175.0,1339.059,1339.563,1339.059,1.0,1339.059,1339.563,,0.0,,1339.059,1339.563,39.0,1.0,1.0,39.0,62.7119,0.0,512444.7648,63.2127,,,,2.0,1.0
176.0,1340.067,1340.571,1340.067,1.0,1340.067,1340.571,,0.0,,1340.067,1340.571,40.0,2.5,3.25,40.0,63.7205,0.0,512446.8983,65.3462,,,,2.0,1.0
177.0,1342.2,1342.704,1342.2,1.0,1342.2,1342.704,,1.0,,1342.2,1342.704,41.0,3.75,1.25,41.0,65.8539,1.0,512448.0316,66.4794,,,,2.0,1.0
